payout,currency,user_id,sale_amount,datetime,shop_name,shop_offset_hour
0.7555534351145039,THB,1nnRj4C00c,83.00,2020-02-02 14:37:32,SE,0
0.45515267175572527,THB,1nnRj4C00c,50.00,2020-02-02 14:37:32,SE,0
1.3,THB,30xuYjIn4G,143.00,2020-02-02 16:17:50,SE,0
16.35,THB,wmGAXp0WWn,1797.00,2020-02-02 10:29:42,SE,0
2.36,THB,AZHpQV9H68,180.00,2020-02-02 14:36:19,SE,0
5.9,THB,AZHpQV9H68,450.00,2020-02-02 14:36:19,SE,0
0.37,THB,2CcgT6pPOX,25.00,2020-02-02 10:29:23,SE,0
0.3342857142857143,THB,2gXIQn6q3m,9.00,2020-02-02 12:43:05,SE,0
0.18571428571428572,THB,2gXIQn6q3m,5.00,2020-02-02 12:43:05,SE,0
4.17,THB,oAI0fjbn1S,458.00,2020-02-02 14:34:29,SE,0
57.51,THB,J5cPkhI45h,727.00,2020-02-02 10:27:43,SE,0
14.61,THB,J5cPkhI45h,146.00,2020-02-02 10:27:43,SE,0
1.99,THB,VRD8RQVRsO,219.00,2020-02-02 12:41:37,SE,0
1.3725806451612903,THB,4y6zOORqTk,37.00,2020-02-02 10:24:52,SE,0
0.9274193548387096,THB,4y6zOORqTk,25.00,2020-02-02 10:24:52,SE,0
0.5232158415841585,THB,iVIaYCmgY0,57.44,2020-02-02 16:14:17,SE,0
1.3167841584158415,THB,iVIaYCmgY0,144.56,2020-02-02 16:14:17,SE,0
0.03,THB,shHJlcTHoF,3.00,2020-02-02 16:13:52,SE,0
0.04,THB,shHJlcTHoF,1.00,2020-02-02 16:13:52,SE,0
0.04,THB,shHJlcTHoF,1.00,2020-02-02 16:13:52,SE,0
0.3552739726027398,THB,9yTvK58myZ,39.00,2020-02-01 20:17:50,SE,0
0.3552739726027398,THB,9yTvK58myZ,39.00,2020-02-01 20:17:50,SE,0
0.3552739726027398,THB,9yTvK58myZ,39.00,2020-02-01 20:17:50,SE,0
0.45547945205479456,THB,9yTvK58myZ,50.00,2020-02-01 20:17:50,SE,0
0.4099315068493151,THB,9yTvK58myZ,45.00,2020-02-01 20:17:50,SE,0
0.4099315068493151,THB,9yTvK58myZ,45.00,2020-02-01 20:17:50,SE,0
0.4099315068493151,THB,9yTvK58myZ,45.00,2020-02-01 20:17:50,SE,0
0.19,THB,Wi0Dh9wXa9,15.00,2020-02-02 14:29:55,SE,0
0.4099315068493151,THB,9yTvK58myZ,45.00,2020-02-01 20:17:50,SE,0
0.4099315068493151,THB,9yTvK58myZ,45.00,2020-02-01 20:17:50,SE,0
0.4372602739726028,THB,9yTvK58myZ,48.00,2020-02-01 20:17:50,SE,0
0.4372602739726028,THB,9yTvK58myZ,48.00,2020-02-01 20:17:50,SE,0
0.4372602739726028,THB,9yTvK58myZ,48.00,2020-02-01 20:17:50,SE,0
0.4372602739726028,THB,9yTvK58myZ,48.00,2020-02-01 20:17:50,SE,0
2.09,THB,PwIoLOv5bb,49.00,2020-02-02 14:26:10,SE,0
2.18,THB,itppTQ3GIn,148.00,2020-02-02 16:11:15,SE,0
4.54,THB,1uxJY0DaXr,499.00,2020-02-02 16:11:14,SE,0
0.63,THB,RkXzXD5xGj,69.00,2020-02-02 10:17:38,SE,0
2.37,THB,PmlFaaXLnS,64.00,2020-02-02 16:10:30,SE,0
59.25000000000001,THB,2y5YbHdbn4,749.00,2020-02-02 10:16:19,SE,0
2.41,THB,2cPl6evPzo,265.00,2020-02-02 12:29:16,SE,0
1.85,THB,2Wbc0ahHLA,203.00,2020-02-02 10:15:49,SE,0
8.62,THB,Qd24gg1Ypm,109.00,2020-02-02 16:08:40,SE,0
2.34,THB,knSzdvS7Q0,63.00,2020-02-02 10:14:45,SE,0
3.63,THB,rH5qvFoOAf,399.00,2020-02-02 12:29:10,SE,0
0.0814012738853503,THB,2hhUbG4QMj,9.00,2020-02-02 12:28:24,SE,0
0.0814012738853503,THB,2hhUbG4QMj,9.00,2020-02-02 12:28:24,SE,0
5.218398474737846,THB,2hqliJylZs,355.00,2020-02-02 09:20:27,SE,0
1.2571974522292992,THB,2hhUbG4QMj,139.00,2020-02-02 12:28:24,SE,0
5.130200190657769,THB,2hqliJylZs,349.00,2020-02-02 09:20:27,SE,0
5.071401334604385,THB,2hqliJylZs,345.00,2020-02-02 09:20:27,SE,0
2.82,THB,1hN4FA54Hv,66.00,2020-02-02 14:23:16,SE,0
1.34,THB,2hqliJylZs,147.00,2020-02-02 09:20:27,SE,0
3.14,THB,2hqliJylZs,345.00,2020-02-02 09:20:27,SE,0
6.69235668789809,THB,zMtCKMZlCy,79.00,2020-02-02 09:20:25,SE,0
6.607643312101912,THB,zMtCKMZlCy,78.00,2020-02-02 09:20:25,SE,0
2.99,THB,zMtCKMZlCy,70.00,2020-02-02 09:20:25,SE,0
0.77,THB,1wMMM6ncEH,85.00,2020-02-02 10:12:43,SE,0
0.6405228758169934,THB,zMtCKMZlCy,15.00,2020-02-02 09:20:25,SE,0
5.5511982570806095,THB,zMtCKMZlCy,130.00,2020-02-02 09:20:25,SE,0
7.28,THB,zMtCKMZlCy,495.00,2020-02-02 09:20:25,SE,0
3.373420479302832,THB,zMtCKMZlCy,79.00,2020-02-02 09:20:25,SE,0
6.76,THB,zMtCKMZlCy,460.00,2020-02-02 09:20:25,SE,0
0.75,THB,GXL4bgOGtZ,82.00,2020-02-02 10:12:30,SE,0
1.5372549019607842,THB,zMtCKMZlCy,36.00,2020-02-02 09:20:25,SE,0
0.75,THB,GXL4bgOGtZ,82.00,2020-02-02 10:12:30,SE,0
0.41,THB,GXL4bgOGtZ,45.00,2020-02-02 10:12:30,SE,0
2.5193899782135074,THB,zMtCKMZlCy,59.00,2020-02-02 09:20:25,SE,0
2.5193899782135074,THB,zMtCKMZlCy,59.00,2020-02-02 09:20:25,SE,0
7.95,THB,GXL4bgOGtZ,160.00,2020-02-02 10:12:30,SE,0
0.8200000000000001,THB,GXL4bgOGtZ,90.00,2020-02-02 10:12:30,SE,0
2.5193899782135074,THB,zMtCKMZlCy,59.00,2020-02-02 09:20:25,SE,0
2.424695121951219,THB,zMtCKMZlCy,165.00,2020-02-02 09:20:25,SE,0
0.939433551198257,THB,zMtCKMZlCy,22.00,2020-02-02 09:20:25,SE,0
9.331402439024387,THB,zMtCKMZlCy,635.00,2020-02-02 09:20:25,SE,0
1.731774647887324,THB,2e1iIMQsYo,118.00,2020-02-02 12:23:49,SE,0
1.351951219512195,THB,zMtCKMZlCy,92.00,2020-02-02 09:20:25,SE,0
1.6290422535211269,THB,2e1iIMQsYo,111.00,2020-02-02 12:23:49,SE,0
1.351951219512195,THB,zMtCKMZlCy,92.00,2020-02-02 09:20:25,SE,0
1.8491830985915496,THB,2e1iIMQsYo,126.00,2020-02-02 12:23:49,SE,0
15.14,THB,2e6DWdYoi5,408.00,2020-02-02 09:19:30,SE,0
30.24,THB,ugB56TEIvq,357.00,2020-02-02 10:11:14,SE,0
1.5499999999999998,THB,4y6zOORqTk,170.00,2020-02-02 14:20:00,SE,0
12.37,THB,34aiZwHf2K,190.00,2020-02-02 12:23:09,SE,0
69.99999999999999,THB,iyD7DmdYMH,8757.33,2020-02-02 10:09:51,SE,0
2.64,THB,C370mXifNM,290.00,2020-02-02 14:19:13,SE,0
